Date,AAPL,AIG,C,GE,GOOG,GS,MMM,SPX,TBILL
1/1/10,210.732,25.1146,33.0721,14.2195,619.98,165.3277,78.5626,1115.1,0.03
1/8/10,211.98,24.5784,35.8697,15.6011,602.02,170.6839,80.1306,1144.98,0.03
1/15/10,205.93,23.5062,34.1712,15.4507,580,161.7732,79.2278,1136.03,0.02
1/22/10,197.75,22.1993,32.4726,15.1406,550.01,150.9139,77.4317,1091.76,0.03
1/29/10,192.063,20.2977,33.172,15.1124,529.944,145.6263,76.4909,1073.87,0.02
2/5/10,195.46,18.7731,32.1729,14.8398,531.29,150.9531,74.6378,1066.19,0.04
2/12/10,200.38,22.4674,31.7732,14.6143,533.12,150.7279,75.246,1075.51,0.05
2/19/10,201.67,22.2245,34.1712,15.1969,540.763,152.9311,77.9784,1109.17,0.06
2/26/10,204.62,20.7501,33.9713,15.1878,526.8,153.4408,76.668,1104.49,0.08
3/5/10,218.95,23.5229,34.9705,15.462,564.21,164.0693,78.8585,1138.7,0.09
3/12/10,226.6,28.6748,39.6665,16.1146,579.54,171.7046,77.8445,1149.99,0.11
3/19/10,222.25,29.1523,38.9671,17.0886,560,174.5899,78.3993,1159.9,0.13
3/26/10,230.9,28.6581,43.0637,17.344,562.69,169.6535,77.481,1166.59,0.12
4/2/10,235.97,28.5743,41.7648,17.3345,568.8,167.0528,80.2072,1178.1,0.14
4/9/10,241.79,31.9503,45.4616,17.5142,566.22,175.7872,79.8628,1194.37,0.16
4/16/10,247.4,32.7964,45.5616,17.9397,550.145,157.7099,80.1211,1192.13,0.15
4/23/10,270.83,37.1776,48.559,18.0343,544.99,154.4713,82.8186,1217.28,0.14
4/30/10,261.09,32.5869,43.6632,17.8357,525.695,142.4983,84.8178,1186.69,0.14
5/7/10,235.86,32.4194,39.9663,15.9633,493.14,140.3294,79.0402,1110.88,0.11
5/14/10,253.82,33.2739,39.7664,16.682,507.53,140.565,81.0011,1135.68,0.15
5/21/10,242.32,30.1241,37.4684,15.5282,472.05,138.0035,77.6794,1087.69,0.17
5/28/10,256.88,29.6382,39.5666,15.462,485.63,141.9299,76.3415,1089.41,0.16
6/4/10,255.965,29.1104,37.868,14.8568,498.72,139.9523,73.2516,1064.88,0.13
6/11/10,253.51,29.3869,38.7673,14.7149,488.5,133.4491,75.3693,1091.6,0.08
6/18/10,274.074,31.7576,40.0662,15.1795,500.03,135.9481,78.1415,1117.51,0.04
6/25/10,266.7,30.9534,39.3668,14.1898,472.68,137.4042,75.9468,1076.76,0.06
7/2/10,246.94,27.7282,37.868,13.2095,436.55,128.9628,74.7628,1022.58,0.13
7/9/10,259.62,30.0738,40.3659,14.2278,467.49,135.83,79.0848,1077.96,0.17
7/16/10,249.9,29.856,38.9671,13.8472,459.605,143.809,77.9201,1064.88,0.16
7/23/10,259.94,30.8026,40.1661,14.9511,490.06,144.9995,82.9447,1102.66,0.15
7/30/10,257.25,32.2267,40.9654,15.3413,484.85,148.3839,82.3383,1101.6,0.15
8/6/10,260.091,34.2875,40.5658,15.6554,500.22,152.6735,84.0228,1121.64,0.15
8/13/10,249.1,30.7189,38.7673,14.6371,486.35,145.6882,80.8655,1079.25,0.15
