Tick,CDS,Vol,Beta,Rating,Type,Grade
ACE      UN  Equity ,77.066,24.553,0.73491,A,Financial,Investment
ADM      UN  Equity ,73.403,29.253,1.02397,A,"Consumer, Non-cyclical",Investment
APD      UN  Equity ,78.817,25.252,1.06507,A,Basic Materials,Investment
BA       UN  Equity ,95.832,27.066,1.35779,A,Industrial,Investment
BHI      UN  Equity ,94.611,45.272,1.70417,A,Energy,Investment
CAT      UN  Equity ,150.485,36.872,1.57238,A,Industrial,Investment
CBE      UN  Equity ,107.145,32.279,1.16816,A,Industrial,Investment
CMI      UN  Equity ,74.762,39.915,1.85346,A,Industrial,Investment
COV      UN  Equity ,66.501,27.958,0.77526,A,"Consumer, Non-cyclical",Investment
DD       UN  Equity ,71.661,28.933,1.27801,A,Basic Materials,Investment
DE       UN  Equity ,73.029,31.263,1.26713,A,Industrial,Investment
DIS      UN  Equity ,41.491,28.567,1.15140,A,Communications,Investment
DOV      UN  Equity ,91.599,30.964,1.53528,A,Industrial,Investment
GD       UN  Equity ,81.696,26.600,1.01818,A,Industrial,Investment
HAL      UN  Equity ,105.679,48.279,1.95964,A,Energy,Investment
HON      UN  Equity ,46.596,28.737,1.38343,A,Industrial,Investment
HSY      UN  Equity ,45.953,15.970,0.38961,A,"Consumer, Non-cyclical",Investment
JPM      UN  Equity ,146.375,40.099,1.26620,A,Financial,Investment
KMB      UN  Equity ,62.160,13.745,0.28830,A,"Consumer, Non-cyclical",Investment
MCD      UN  Equity ,24.655,16.276,0.43658,A,"Consumer, Cyclical",Investment
NUE      UN  Equity ,122.615,32.598,1.36137,A,Basic Materials,Investment
ORCL     UW  Equity ,45.502,34.397,1.23240,A,Technology,Investment
OXY      UN  Equity ,68.957,36.840,1.36023,A,Energy,Investment
PEP      UN  Equity ,67.982,14.923,0.37408,A,"Consumer, Non-cyclical",Investment
PM       UN  Equity ,78.544,17.352,0.67818,A,"Consumer, Non-cyclical",Investment
PRU      UN  Equity ,277.031,37.944,1.54968,A,Financial,Investment
PX       UN  Equity ,66.366,22.945,0.91167,A,Basic Materials,Investment
SHW      UN  Equity ,63.374,21.767,0.56270,A,Basic Materials,Investment
SO       UN  Equity ,105.527,13.617,0.33777,A,Utilities,Investment
SWK      UN  Equity ,92.548,35.099,1.27633,A,Industrial,Investment
TJX      UN  Equity ,85.041,22.580,0.69938,A,"Consumer, Cyclical",Investment
TMK      UN  Equity ,236.143,28.491,1.03053,A,Financial,Investment
TRV      UN  Equity ,98.574,21.827,0.66296,A,Financial,Investment
UTX      UN  Equity ,115.322,26.029,1.16236,A,Industrial,Investment
COP      UN  Equity ,100.298,23.624,1.08706,A      *-,Energy,Investment
AET      UN  Equity ,75.685,28.876,1.13964,A-,"Consumer, Non-cyclical",Investment
AIG      UN  Equity ,479.555,43.372,1.65770,A-,Financial,Investment
ALL      UN  Equity ,111.791,26.364,0.88546,A-,Financial,Investment
AMAT     UW  Equity ,86.701,33.071,1.30936,A-,Technology,Investment
APA      UN  Equity ,83.932,41.240,1.58275,A-,Energy,Investment
BAC      UN  Equity ,406.979,56.251,1.52039,A-,Financial,Investment
C        UN  Equity ,271.997,53.434,1.82915,A-,Financial,Investment
CAH      UN  Equity ,56.949,23.306,0.68059,A-,"Consumer, Non-cyclical",Investment
CPB      UN  Equity ,54.810,14.486,0.32348,A-,"Consumer, Non-cyclical",Investment
D        UN  Equity ,90.289,16.204,0.46222,A-,Utilities,Investment
DELL     UW  Equity ,138.686,31.091,1.26868,A-,Technology,Investment
DO       UN  Equity ,93.585,32.319,1.04840,A-,Energy,Investment
DUK      UN  Equity ,66.312,12.526,0.37351,A-,Utilities,Investment
ED       UN  Equity ,70.831,14.713,0.36743,A-,Utilities,Investment
EMC      UN  Equity ,125.773,27.073,1.24597,A-,Technology,Investment
ETN      UN  Equity ,95.656,35.082,1.53958,A-,Industrial,Investment
GS       UN  Equity ,318.415,43.140,1.05207,A-,Financial,Investment
HD       UN  Equity ,58.491,21.563,0.91789,A-,"Consumer, Cyclical",Investment
JWN      UN  Equity ,117.009,31.144,1.36915,A-,"Consumer, Cyclical",Investment
LMT      UN  Equity ,118.905,18.172,0.54836,A-,Industrial,Investment
LNC      UN  Equity ,354.214,50.910,1.97700,A-,Financial,Investment
LOW      UN  Equity ,95.819,25.842,0.84173,A-,"Consumer, Cyclical",Investment
MCK      UN  Equity ,37.088,24.076,0.69952,A-,"Consumer, Non-cyclical",Investment
MET      UN  Equity ,328.844,41.018,1.62635,A-,Financial,Investment
MS       UN  Equity ,426.826,60.462,1.69982,A-,Financial,Investment
RTN      UN  Equity ,79.479,21.654,0.77980,A-,Industrial,Investment
SPG      UN  Equity ,137.744,25.936,1.00822,A-,Financial,Investment
T        UN  Equity ,84.010,14.554,0.55211,A-,Communications,Investment
UNH      UN  Equity ,112.738,28.632,0.98020,A-,"Consumer, Non-cyclical",Investment
VFC      UN  Equity ,55.721,28.120,1.08163,A-,"Consumer, Cyclical",Investment
VZ       UN  Equity ,64.703,14.025,0.46537,A-,Communications,Investment
WU       UN  Equity ,110.971,26.787,1.01136,A-,"Consumer, Non-cyclical",Investment
XEL      UN  Equity ,72.788,19.282,0.46332,A-,Utilities,Investment
CSC      UN  Equity ,428.957,61.843,1.18425,A-     *-,Technology,Investment
AGN      UN  Equity ,51.010,21.025,0.62988,A+,"Consumer, Non-cyclical",Investment
AMGN     UW  Equity ,80.703,19.307,0.44787,A+,"Consumer, Non-cyclical",Investment
BAX      UN  Equity ,39.198,23.794,0.73665,A+,"Consumer, Non-cyclical",Investment
BDX      UN  Equity ,86.877,21.689,0.59084,A+,"Consumer, Non-cyclical",Investment
BMY      UN  Equity ,35.024,16.891,0.45938,A+,"Consumer, Non-cyclical",Investment
CB       UN  Equity ,74.476,21.298,0.67268,A+,Financial,Investment
COST     UW  Equity ,51.805,18.951,0.59085,A+,"Consumer, Cyclical",Investment
CSCO     UW  Equity ,110.102,29.638,1.07048,A+,Communications,Investment
DHR      UN  Equity ,90.739,28.120,1.17702,A+,Industrial,Investment
IBM      UN  Equity ,45.599,23.976,0.81889,A+,Technology,Investment
KO       UN  Equity ,48.358,15.863,0.48997,A+,"Consumer, Non-cyclical",Investment
L        UN  Equity ,82.599,26.592,0.95720,A+,Financial,Investment
MON      UN  Equity ,80.518,32.279,1.07861,A+,Basic Materials,Investment
NKE      UN  Equity ,54.422,29.699,1.01608,A+,"Consumer, Cyclical",Investment
SYY      UN  Equity ,62.469,17.737,0.69940,A+,"Consumer, Non-cyclical",Investment
TGT      UN  Equity ,51.440,19.944,0.59300,A+,"Consumer, Cyclical",Investment
WFC      UN  Equity ,147.230,34.145,1.26607,A+,Financial,Investment
CVX      UN  Equity ,56.024,26.711,1.07413,AA,Energy,Investment
MRK      UN  Equity ,19.749,19.090,0.62147,AA,"Consumer, Non-cyclical",Investment
PFE      UN  Equity ,87.708,20.741,0.66140,AA,"Consumer, Non-cyclical",Investment
WMT      UN  Equity ,55.840,15.089,0.41331,AA,"Consumer, Cyclical",Investment
