Date,VIX,SPX
1/4/10,20.04,1132.99
1/5/10,19.35,1136.52
1/6/10,19.16,1137.14
1/7/10,19.06,1141.69
1/8/10,18.13,1144.98
1/11/10,17.55,1146.98
1/12/10,18.25,1136.22
1/13/10,17.85,1145.68
1/14/10,17.63,1148.46
1/15/10,17.91,1136.03
1/19/10,17.58,1150.23
1/20/10,18.68,1138.04
1/21/10,22.27,1116.48
1/22/10,27.31,1091.76
1/25/10,25.41,1096.78
1/26/10,24.55,1092.17
1/27/10,23.14,1097.5
1/28/10,23.73,1084.53
1/29/10,24.62,1073.87
2/1/10,22.59,1089.19
2/2/10,21.48,1103.32
2/3/10,21.6,1097.28
2/4/10,26.08,1063.11
2/5/10,26.11,1066.19
2/8/10,26.51,1056.74
2/9/10,26,1070.52
2/10/10,25.4,1068.13
2/11/10,23.96,1078.47
2/12/10,22.73,1075.51
2/16/10,22.25,1094.87
2/17/10,21.72,1099.51
2/18/10,20.63,1106.75
2/19/10,20.02,1109.17
2/22/10,19.94,1108.02
2/23/10,21.37,1094.6
2/24/10,20.27,1105.24
2/25/10,20.1,1102.94
2/26/10,19.5,1104.49
3/1/10,19.26,1115.71
3/2/10,19.06,1118.31
3/3/10,18.83,1118.79
3/4/10,18.72,1122.97
3/5/10,17.42,1138.7
3/8/10,17.79,1138.51
3/9/10,17.92,1140.45
3/10/10,18.57,1145.61
3/11/10,18.06,1150.24
3/12/10,17.58,1149.99
3/15/10,18,1150.51
3/16/10,17.69,1159.46
3/17/10,16.91,1166.21
3/18/10,16.62,1165.83
3/19/10,16.97,1159.9
3/22/10,16.87,1165.81
3/23/10,16.35,1174.17
3/24/10,17.55,1167.72
3/25/10,18.4,1165.73
3/26/10,17.77,1166.59
3/29/10,17.59,1173.22
3/30/10,17.13,1173.27
3/31/10,17.59,1169.43
4/1/10,17.47,1178.1
4/5/10,17.02,1187.44
4/6/10,16.23,1189.44
4/7/10,16.62,1182.45
4/8/10,16.48,1186.44
4/9/10,16.14,1194.37
4/12/10,15.58,1196.48
4/13/10,16.2,1197.3
4/14/10,15.59,1210.65
4/15/10,15.89,1211.67
4/16/10,18.36,1192.13
4/19/10,17.34,1197.52
4/20/10,15.73,1207.17
4/21/10,16.32,1205.94
4/22/10,16.47,1208.67
4/23/10,16.62,1217.28
4/26/10,17.47,1212.05
4/27/10,22.81,1183.71
4/28/10,21.08,1191.36
4/29/10,18.44,1206.78
4/30/10,22.05,1186.69
5/3/10,20.19,1202.26
5/4/10,23.84,1173.6
5/5/10,24.91,1165.9
5/6/10,32.8,1128.15
5/7/10,40.95,1110.88
5/10/10,28.84,1159.73
5/11/10,28.32,1155.79
5/12/10,25.52,1171.67
5/13/10,26.68,1157.44
5/14/10,31.24,1135.68
5/17/10,30.84,1136.94
5/18/10,33.55,1120.8
5/19/10,35.32,1115.05
5/20/10,45.79,1071.59
5/21/10,40.1,1087.69
5/24/10,38.32,1073.65
5/25/10,34.61,1074.03
5/26/10,35.02,1067.95
5/27/10,29.68,1103.06
5/28/10,32.07,1089.41
6/1/10,35.54,1070.71
6/2/10,30.17,1098.38
6/3/10,29.46,1102.83
6/4/10,35.48,1064.88
6/7/10,36.57,1050.47
6/8/10,33.7,1062
6/9/10,33.73,1055.69
6/10/10,30.57,1086.84
6/11/10,28.79,1091.6
6/14/10,28.58,1089.63
6/15/10,25.87,1115.23
6/16/10,25.92,1114.61
6/17/10,25.05,1116.04
6/18/10,23.95,1117.51
6/21/10,24.88,1113.2
6/22/10,27.05,1095.31
6/23/10,26.91,1092.04
6/24/10,29.74,1073.69
6/25/10,28.53,1076.76
6/28/10,29,1074.57
6/29/10,34.13,1041.24
6/30/10,34.54,1030.71
7/1/10,32.86,1027.37
7/2/10,30.12,1022.58
7/6/10,29.65,1028.06
7/7/10,26.84,1060.27
7/8/10,25.71,1070.25
7/9/10,24.98,1077.96
7/12/10,24.43,1078.75
7/13/10,24.56,1095.34
7/14/10,24.89,1095.17
7/15/10,25.14,1096.48
7/16/10,26.25,1064.88
7/19/10,25.97,1071.25
7/20/10,23.93,1083.48
7/21/10,25.64,1069.59
7/22/10,24.63,1093.67
7/23/10,23.47,1102.66
7/26/10,22.73,1115.01
7/27/10,23.19,1113.84
7/28/10,24.25,1106.13
7/29/10,24.13,1101.53
7/30/10,23.5,1101.6
8/2/10,22.01,1125.86
8/3/10,22.63,1120.46
8/4/10,22.21,1127.24
8/5/10,22.1,1125.81
8/6/10,21.74,1121.64
8/9/10,22.14,1127.79
8/10/10,22.37,1121.06
8/11/10,25.39,1089.47
8/12/10,25.73,1083.61
8/13/10,26.24,1079.25
8/16/10,26.1,1079.38
8/17/10,24.33,1092.54
8/18/10,24.59,1094.16
8/19/10,26.44,1075.63
8/20/10,25.49,1071.69
8/23/10,25.66,1067.36
8/24/10,27.46,1051.87
8/25/10,26.7,1055.33
8/26/10,27.37,1047.22
8/27/10,24.45,1064.59
8/30/10,27.21,1048.92
8/31/10,26.05,1049.33
9/1/10,23.89,1080.29
9/2/10,23.19,1090.1
9/3/10,21.31,1104.51
9/7/10,23.8,1091.84
9/8/10,23.25,1098.87
9/9/10,22.81,1104.18
9/10/10,21.99,1109.55
9/13/10,21.21,1121.9
9/14/10,21.56,1121.1
9/15/10,22.1,1125.07
9/16/10,21.72,1124.66
9/17/10,22.01,1125.59
9/20/10,21.5,1142.71
9/21/10,22.35,1139.78
9/22/10,22.51,1134.28
9/23/10,23.87,1124.83
9/24/10,21.71,1148.67
9/27/10,22.54,1142.16
9/28/10,22.6,1147.7
9/29/10,23.25,1144.73
9/30/10,23.7,1141.2
10/1/10,22.5,1146.24
10/4/10,23.53,1137.03
10/5/10,21.76,1160.75
10/6/10,21.49,1159.97
10/7/10,21.56,1158.06
10/8/10,20.71,1165.15
10/11/10,18.96,1165.32
10/12/10,18.93,1169.77
10/13/10,19.07,1178.1
10/14/10,19.88,1173.81
10/15/10,19.03,1176.19
10/18/10,19.09,1184.71
10/19/10,20.63,1165.9
10/20/10,19.79,1178.17
10/21/10,19.27,1180.26
10/22/10,18.78,1183.08
10/25/10,19.85,1185.62
10/26/10,20.22,1185.64
10/27/10,20.71,1182.45
10/28/10,20.88,1183.78
10/29/10,21.2,1183.26
11/1/10,21.83,1184.38
11/2/10,21.57,1193.57
11/3/10,19.56,1197.96
11/4/10,18.52,1221.06
11/5/10,18.26,1225.85
11/8/10,18.29,1223.25
11/9/10,19.08,1213.4
11/10/10,18.47,1218.71
11/11/10,18.64,1213.54
11/12/10,20.61,1199.21
11/15/10,20.2,1197.75
11/16/10,22.58,1178.34
11/17/10,21.76,1178.59
11/18/10,18.75,1196.69
11/19/10,18.04,1199.73
11/22/10,18.37,1197.84
11/23/10,20.63,1180.73
11/24/10,19.56,1198.35
11/26/10,22.22,1189.4
11/29/10,21.53,1187.76
11/30/10,23.54,1180.55
12/1/10,21.36,1206.07
12/2/10,19.39,1221.53
12/3/10,18.01,1224.71
12/6/10,18.02,1223.12
12/7/10,17.99,1223.75
12/8/10,17.74,1228.28
12/9/10,17.25,1233
12/10/10,17.61,1240.4
12/13/10,17.55,1240.46
12/14/10,17.61,1241.59
12/15/10,17.94,1235.23
12/16/10,17.39,1242.87
12/17/10,16.11,1243.91
12/20/10,16.41,1247.08
12/21/10,16.49,1254.6
12/22/10,15.45,1258.84
12/23/10,16.47,1256.77
12/27/10,17.67,1257.54
12/28/10,17.52,1258.51
12/29/10,17.28,1259.78
12/30/10,17.52,1257.88
12/31/10,17.75,1257.64
1/3/11,17.61,1271.87
1/4/11,17.38,1270.2
1/5/11,17.02,1276.56
1/6/11,17.4,1273.85
1/7/11,17.14,1271.5
1/10/11,17.54,1269.75
1/11/11,16.89,1274.48
1/12/11,16.24,1285.96
1/13/11,16.39,1283.76
1/14/11,15.46,1293.24
1/18/11,15.87,1295.02
1/19/11,17.31,1281.92
1/20/11,17.99,1280.26
1/21/11,18.47,1283.35
1/24/11,17.65,1290.84
1/25/11,17.59,1291.18
1/26/11,16.64,1296.63
1/27/11,16.15,1299.54
1/28/11,20.04,1276.34
1/31/11,19.53,1286.12
2/1/11,17.63,1307.59
2/2/11,17.3,1304.03
2/3/11,16.69,1307.1
2/4/11,15.93,1310.87
2/7/11,16.28,1319.05
2/8/11,15.81,1324.57
2/9/11,15.87,1320.88
2/10/11,16.09,1321.87
2/11/11,15.69,1329.15
2/14/11,15.95,1332.32
2/15/11,16.37,1328.01
2/16/11,16.72,1336.32
2/17/11,16.59,1340.43
2/18/11,16.43,1343.01
2/22/11,20.8,1315.44
2/23/11,22.13,1307.4
2/24/11,21.32,1306.1
2/25/11,19.22,1319.88
2/28/11,18.35,1327.22
3/1/11,21.01,1306.33
3/2/11,20.7,1308.44
3/3/11,18.6,1330.97
3/4/11,19.06,1321.15
3/7/11,20.66,1310.13
3/8/11,19.82,1321.82
3/9/11,20.22,1320.02
3/10/11,21.88,1295.11
3/11/11,20.08,1304.28
3/14/11,21.13,1296.39
3/15/11,24.32,1281.87
3/16/11,29.4,1256.88
3/17/11,26.37,1273.72
3/18/11,24.44,1279.2
3/21/11,20.61,1298.38
3/22/11,20.21,1293.77
3/23/11,19.17,1297.54
3/24/11,18,1309.66
3/25/11,17.91,1313.8
3/28/11,19.44,1310.19
3/29/11,18.16,1319.44
3/30/11,17.71,1328.26
3/31/11,17.74,1325.83
4/1/11,17.4,1332.41
4/4/11,17.5,1332.87
4/5/11,17.25,1332.63
4/6/11,16.9,1335.54
4/7/11,17.11,1333.51
4/8/11,17.87,1328.17
4/11/11,16.59,1324.46
4/12/11,17.09,1314.16
4/13/11,16.92,1314.41
4/14/11,16.27,1314.52
4/15/11,15.32,1319.68
4/18/11,16.96,1305.14
4/19/11,15.83,1312.62
4/20/11,15.07,1330.36
4/21/11,14.69,1337.38
4/25/11,15.77,1335.25
4/26/11,15.62,1347.24
4/27/11,15.35,1355.66
4/28/11,14.62,1360.48
4/29/11,14.75,1363.61
5/2/11,15.99,1361.22
5/3/11,16.7,1356.62
5/4/11,17.08,1347.32
5/5/11,18.2,1335.1
5/6/11,18.4,1340.2
