datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time
1965:01,4.900000095,31.29000092,4.039999962,3.930000067,4.059999943,279.2399902,31699,20
1965:02,4.666666508,31.48999977,4.039999962,3.799999952,3.99000001,279.230011,32437,21
1965:03,4.366666794,31.58333397,4.010000229,3.920000076,4.199999809,279.6697083,33475,22
1965:04,4.099999905,31.75,4.320000172,4.380000114,4.71999979,280.2099915,33558,23
1966:01,3.866666555,32.04666519,4.650000095,4.590000153,4.96999979,279.5198059,35539.19922,24
1966:02,3.833333254,32.33666611,5.170000076,4.5,4.96999979,278.980011,37753.5,25
1966:03,3.766666651,32.61666489,5.400000095,5.369999886,5.820000172,278.9296875,39148.69922,26
1966:04,3.700000048,32.88333511,5.400000095,4.960000038,5.199999809,279.0097961,40025.60156,27
1967:01,3.833333254,32.96666718,4.53000021,4.260000229,4.349999905,279.6271973,42074,28
1967:02,3.833333254,33.16666794,3.980000019,3.539999962,4.480000019,279.1171875,43295,29
1967:03,3.799999952,33.5,3.99000001,4.420000076,5.239999771,278.3693848,45546,30
1967:04,3.900000095,33.86666489,4.510000229,4.96999979,5.710000038,240.6298065,47540,31
1968:01,3.733333349,34.20000076,5.050000191,5.170000076,5.579999924,239.9718018,49302.60156,32
1968:02,3.566666603,34.53333282,6.070000172,5.519999981,5.980000019,238.4620056,51317.60156,33
1968:03,3.533333302,35,5.78000021,5.190000057,5.449999809,238.739502,53237.10156,34
1968:04,3.400000095,35.43333435,6.019999981,5.960000038,6.190000057,238.4156952,57507.60156,35
1969:01,3.400000095,35.86666489,6.789999962,6.019999981,6.340000153,239.167099,57632,36
1969:02,3.433333397,36.43333435,8.899999619,6.440000057,7.039999962,238.9499969,60612.39844,37
1969:03,3.566666603,36.93333435,9.149999619,7.090000153,7.820000172,238.3999939,63086.89844,38
1969:04,3.566666603,37.5,8.970000267,7.820000172,8.170000076,239.7299957,66786,39
1970:01,4.166666508,38.09999847,7.760000229,6.630000114,6.96999979,240.5800018,69527,40
1970:02,4.766666889,38.63333511,7.599999905,6.679999828,7.550000191,239.7700043,71738,41
1970:03,5.166666508,39.03333282,6.289999962,6.119999886,6.730000019,238.5299988,74777,42
1970:04,5.833333492,39.59999847,4.900000095,4.869999886,5,239.0599976,76524,43
1971:01,5.933333397,39.93333435,3.710000038,3.380000114,3.690000057,241.8699951,77842,44
1971:02,5.900000095,40.29999924,4.909999847,4.75,5.639999866,241.8699951,79555,45
1971:03,6.033333302,40.70000076,5.550000191,4.690000057,5.409999847,246.9400024,81698,46
1971:04,5.933333397,41,4.139999866,4.010000229,4.599999905,252.6600037,83062,47
1972:01,5.766666889,41.33333206,3.829999924,3.730000019,4.670000076,261.8099976,87117,48
1972:02,5.699999809,41.59999847,4.460000038,3.910000086,4.929999828,256.9100037,89731,49
1972:03,5.566666603,41.93333435,4.869999886,4.659999847,5.519999981,244.1000061,93788,50
