DATE,SBUX,AMZN,MKTminusRF,SMB,HML,RMW,CMA,MOM,RF
20110504,.007438,,-.0074,-.0055,-.002,.0053,-.0034,-.0086,0
20110505,-.0019141,-.0143021,-.0082,.0048,-.0041,.0036,.0016,-.0031,0
20110506,.0008219,.0024859,.0046,.0005,-.0009,-.003,-.0008,.0054,0
20110509,,,.0055,.0066,-.0035,-.0007,-.0006,.012,0
20110510,.0030454,.0156374,.0086,.0067,.0023,.0006,-.0003,.0006,0
20110511,-.0121446,.0021575,-.0109,-.0063,-.0049,.0083,-.0043,-.0112,0
20110512,.0184409,.0082689,.0052,.003,-.0051,.0016,-.0008,-.0024,0
20110513,-.0082304,-.0170331,-.0088,-.0047,-.0019,.0022,-.0022,-.0006,0
20110516,,,-.0076,-.0097,.0037,.001,.0006,-.0072,0
20110517,.0039818,.0119474,-.0011,-.0039,.0003,.0007,-.0017,-.0046,0
20110518,.0371105,.0117037,.0102,.0065,-.0021,-.0031,.0022,.0117,0
20110519,.0144769,.0086763,.0022,.0002,-.0013,.0008,-.0013,.0029,0
20110520,-.0142703,-.0007546,-.0073,.0003,-.001,-.0023,-.0007,.003,0
20110523,,,-.0129,-.0052,0,.0038,-.0033,-.006,0
20110524,-.0041163,-.0150341,-.0014,-.0028,.0006,0,.0001,.0034,0
20110525,-.0046845,-.0052259,.0045,.0099,-.0019,-.0052,.0015,.0119,0
20110526,.0088593,.0142516,.0052,.0069,-.0021,-.0006,.0001,.0051,0
20110527,.0005489,-.0044615,.0049,.002,.002,-.0017,.0016,.001,0
20110531,,,.0104,.0034,0,-.0008,-.0004,.0025,0
20110601,,,-.0233,-.007,-.0021,.0052,-.0077,-.0026,0
20110602,-.0016676,.0064969,-.001,-.0003,.0015,-.0038,-.0004,.0008,0
20110603,-.0211581,-.0275238,-.011,-.0051,.0016,.0002,-.0006,-.0015,0
20110606,,,-.0118,-.0036,-.0037,.0064,-.0026,-.0067,0
20110607,.0053161,.0100167,-.0004,.0033,-.0014,-.0012,-.0012,.0052,0
20110608,-.005288,.002666,-.0054,-.0068,.0005,.0043,-.0039,-.0027,0
20110609,-.0058759,.0086679,.0075,-.0001,-.0002,.0006,.0025,.0045,0
20110610,-.0115395,-.0166069,-.0137,-.0017,.0036,-.0009,-.0005,-.0062,0
20110613,,,.0001,-.0041,.0029,.004,-.0037,-.0061,0
20110614,.0106017,.0197005,.0136,.0097,-.0025,.0014,.003,.0091,0
20110615,-.0116246,-.0209518,-.0172,-.0003,-.0018,.0042,-.0027,-.0045,0
20110616,.0080321,-.0125282,.0012,-.0001,.0038,.0033,-.0011,-.0082,0
20110617,.0085373,.0148108,.0025,-.0039,.0066,-.0005,.0023,-.0023,0
20110620,,,.0058,.0037,-.0005,.0024,-.0011,.005,0
20110621,.0251186,.0346793,.0152,.0092,-.003,-.0033,.0019,.012,0
20110622,.0149741,-.0133861,-.0062,-.0011,.001,-.0015,.0013,.0022,0
20110623,.0120708,.0132025,-.0014,.0058,-.0083,.0031,-.001,.0046,0
20110624,-.0100716,-.0082921,-.011,.0047,.0006,.0007,-.0017,-.0032,0
20110627,,,.0089,.001,-.0006,.0022,-.0029,.0022,0
20110628,.0331666,.0054659,.0136,.0041,-.0034,-.0013,-.0007,.0124,0
20110629,.004586,.0090437,.0077,-.0062,.0059,-.0043,.0042,-.0001,0
20110630,.0015217,.0015183,.0099,.0011,-.0023,.0005,.0026,.004,0
20110701,,,.0145,0,.0009,.0007,.0015,.0034,0
20110705,,,-.0008,.0015,-.0073,.0048,-.0052,.0122,0
20110706,-.0129427,.0046907,.0018,.0033,-.0044,.0027,-.0001,.0033,0
20110707,-.002474,.0119053,.011,.005,-.0004,-.001,-.0034,-.0025,0
20110708,.000744,.0071053,-.0067,-.0003,-.0037,.0035,-.0014,.0036,0
20110711,,,-.0191,-.0021,-.001,.0066,.0008,-.0016,0
20110712,-.0042779,-.0062103,-.0045,.0004,.0044,-.0005,.0023,-.0059,0
20110713,.0002528,.0107466,.0045,.0055,-.0018,-.0016,-.0017,.0033,0
20110714,-.0113694,-.0146136,-.0082,-.0079,.0022,.0016,.0018,-.0019,0
20110715,.0171224,.0118357,.0058,.0003,-.0036,.0001,-.0066,.0053,0
20110718,,,-.0094,-.0061,-.0036,.0055,-.0036,.0032,0
20110719,.0233502,.0308703,.0172,.0054,-.0088,.0026,-.003,.0045,0
20110720,-.0121527,-.0115106,-.001,-.0018,.0067,-.0004,.0043,-.0058,0
20110721,.0138087,-.0108559,.0129,-.0026,.0085,-.0049,.0031,-.0052,0
20110722,-.000743,.0155246,.001,-.0013,-.0069,-.0006,-.0063,.0027,0
20110725,,,-.0068,-.0055,.0011,.0019,-.0014,-.0015,0
20110726,-.0054456,.0032319,-.0047,-.0034,.0012,.0007,-.0017,-.0057,0
20110727,-.0301145,.0389393,-.0216,-.0075,.0066,.0054,.0036,-.0066,0
20110728,.0259173,.0062016,-.0031,.0012,-.0024,-.0012,-.0036,.0011,0
20110729,.0027514,-.0061634,-.0056,.0022,.0002,-.0016,.0025,.0012,0
20110801,,,-.004,-.0016,.0026,-.0008,-.0008,.0003,0
20110802,-.0298995,-.0434665,-.0268,-.0053,.0021,.0007,-.0021,-.0085,0
20110803,.017353,-.0082191,.0058,.0023,-.0046,.0025,-.0022,-.0009,0
20110804,-.0605906,-.0403887,-.0504,-.0085,.0051,.0083,.0004,-.014,0
