Strike,Price
200,476.7
300,379.6
350,332.4
400,286.6
450,242.5
500,201
550,162.4
600,127.1
650,95.9
655,93
660,90.2
665,87.4
670,84.6
675,81.8
680,79.3
685,76.7
690,74.1
695,71.5
700,69.4
705,67
710,64.4
715,61.7
720,59.4
725,57.2
730,55.1
735,52.7
740,50.8
745,48.9
750,47
775,38
780,36.3
800,30.2
820,25
825,23.8
830,22.5
835,21.5
840,20.4
850,18.4
875,14.1
900,10.5
925,7.8
950,5.6
975,4.1
1000,2.9
1025,2.2
1050,1.65
1075,1.25
1100,1.05
1125,0.85
1150,0.75
1175,0.6
1200,0.6
1225,0.55
1250,0.5
1275,0.45
1300,0.4
1325,0.4
1350,0.4
1375,0.4
1400,0.4
1425,0.4
1450,0.4
1475,0.4
1500,0.4
1525,0.4
1550,0.4
1575,0.4
1600,0.3
1625,0.3
1650,0.3
