Date,BND,BSV,BIV,BLV,VGSH,VGLT,VCSH,VCIT,VCLT,VMBS,VGIT,EDV,VTI,MGC,MGK,MGV,VV,VUG,VTV,VXF,VO,VOT,VOE,VB,VBK,VBR,VIG,VYM,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VAW,VNQ,VOX,VPU,VT,VEU,VEA,VGK,VPL,VWO,VSS,SPX INDEX,TBILL
1/1/10,73.409,76.042,72.768,68.886,58.878,53.481,72.006,69.019,66.976,46.71,55.9,71.231,54.232,36.947,40.747,33.282,49.024,51.937,45.675,42.625,59.237,48.238,43.53,56.687,59.592,53.434,44.863,35.843,45.675,62.551,80.992,28.292,52.354,49.921,54.124,64.946,42.044,53.156,60.362,41.284,41.244,32.238,44.226,47.749,39.36,76.845,1115.1,0.03
1/8/10,73.698,76.242,73.331,68.959,59.105,53.286,72.522,69.876,67.301,46.974,56.339,69.165,55.838,37.859,41.681,34.23,50.388,53.367,47.053,44.248,61.539,50.187,45.089,58.851,61.931,55.16,45.658,36.522,46.817,62.894,85.781,29.627,53.427,52.515,54.814,68.7,41.885,53.353,60.001,42.702,42.871,33.426,45.941,49.796,40.983,80.804,1144.98,0.03
1/15/10,74.063,76.663,73.863,69.601,59.253,54.347,72.861,70.235,67.815,47.266,56.767,71.755,55.319,37.658,41.399,34.04,49.992,52.789,46.746,43.743,60.788,49.163,44.834,58.021,60.856,54.651,45.62,36.522,46.251,63.437,84.333,29.208,54.161,52.137,54.114,66.497,41.903,51.877,60.279,42.329,42.388,33.2,45.193,50.54,40.032,80.606,1136.03,0.02
1/22/10,74.259,76.739,74.213,70.442,59.342,54.863,72.809,70.42,67.729,47.294,56.986,72.887,53.308,36.16,39.666,32.763,48.086,50.694,45.063,42.298,58.575,47.332,43.389,56.143,58.845,52.944,44.346,35.221,44.737,62.142,80.098,27.942,53.04,49.892,51.608,62.36,40.033,50.118,58.343,40.202,40.024,31.315,42.374,48.428,37.709,75.858,1091.76,0.03
1/29/10,74.352,76.806,74.268,70.261,59.349,54.925,72.739,70.196,67.441,47.395,57.06,73.245,52.298,35.642,38.882,32.532,47.331,49.549,44.556,41.209,57.123,46.019,42.539,54.779,57.408,51.836,43.829,34.74,44.522,61.951,77.523,28.039,52.576,48.85,49.695,59.65,39.723,49.036,57.649,39.177,38.87,30.485,41.453,46.865,36.711,74.428,1073.87,0.02
2/5/10,74.566,76.972,74.437,70.073,59.448,54.981,72.854,70.251,67.37,47.537,57.298,73.137,51.932,35.364,38.763,32.163,46.963,49.324,44.087,40.675,56.708,45.522,42.166,54.146,56.625,51.198,43.499,34.447,44.132,61.399,76.863,27.532,51.639,48.401,50.04,60.004,39.554,48.02,56.352,38.477,37.669,29.712,40.149,46.418,36.048,72.378,1066.19,0.04
2/12/10,74.238,76.857,73.984,69.21,59.369,54.111,72.701,69.697,66.517,47.353,57.06,70.635,52.692,35.69,39.297,32.22,47.573,50.273,44.508,41.942,58.14,46.835,43.037,55.797,58.536,52.375,43.906,34.853,45.069,62.351,78.75,27.659,52.016,49.195,50.997,61.297,39.47,48.97,56.287,39.11,38.312,30.315,40.523,46.958,36.826,73.921,1075.51,0.05
2/19/10,74.06,76.695,73.707,68.974,59.27,53.736,72.605,69.567,66.281,47.225,56.745,69.678,54.376,36.755,40.428,33.225,48.995,51.703,45.799,43.397,60.304,48.506,44.717,57.764,60.477,54.592,45.246,35.862,46.632,64.17,81.293,28.624,53.021,51.344,52.36,63.998,41.593,50.346,58.343,40.202,39.551,30.834,41.709,47.572,37.738,75.209,1109.17,0.06
2/26/10,74.594,77.02,74.595,70.409,59.441,54.805,73.004,70.514,68.219,47.359,57.336,72.703,54.097,36.544,40.26,33.149,48.802,51.468,45.722,43.229,60.136,48.427,44.56,57.418,60.099,54.435,44.892,35.588,47.159,63.837,79.408,29.023,52.857,51.256,51.934,62.686,41.941,49.619,57.093,39.991,39.381,30.711,41.225,47.935,37.403,74.767,1104.49,0.08
3/5/10,74.682,76.958,74.449,69.886,59.367,54.27,73.066,70.658,67.878,47.568,57.259,70.897,56.002,37.677,41.408,34.078,50.301,53.141,47.024,45.317,62.636,50.605,46.228,60.779,63.663,57.289,46.127,36.551,49.161,65.332,82.332,30.046,54.14,53.19,53.699,66.286,43.623,50.579,58.698,41.629,41.14,32.154,43.378,49.442,39.418,78.34,1138.7,0.09
